pubResumen,pubNumOficio,pubFechaPubli
Consulta sobre obligatoriedad de reducir a escritura pública permiso de ampliación de vivienda social previamente acogida al DFL N° 2 de 1959. ,1913,24/07/2015 
Modalidad de cálculo de impuesto al juego en caso de existir pérdidas tributarias.,1912,24/07/2015 
"Limitación para el uso de pérdidas tributarias, con ocasión del cambio de propiedad de la empresa.",1829,14/07/2015 
Normas de relación que deben considerarse para que se aplique la excepción a la restricción para la utilización de pérdidas tributarias luego de un cambio de propiedad.,1828,14/07/2015 
"Deducción como gasto de las pérdidas tributarias acumuladas, luego de un cambio de propiedad.",1827,14/07/2015 
"Improcedencia de suspender los pagos provisionales obligatorios, por contribuyentes que determinan pérdida tributaria en el ejercicio y saldo de FUT que absorbe dicha pérdida.",1826,14/07/2015 
"Tratamiento tributario que afecta a los beneficios entregados a trabajadores de una empresa, por una corporación de derecho privado constituida al amparo de las normas del  Título XXXIII, del Libro I del Código Civil, con aportes provenientes de  dicha empresa y sus trabajadores. ",1823,14/07/2015 
Costo tributario de los derechos de agua incluidos en un predio adquirido por sucesión por causa de muerte. ,1822,14/07/2015 
"Tratamiento tributario de las Asociaciones de Funcionarios del Estado, regidos por la Ley N° 19.296.",1821,14/07/2015 
Procedencia de crédito por impuesto retenido en México por pago de regalías.,1815,13/07/2015 
Consulta aspectos tributarios de la actividad naviera en la Zona Sur Austral de Chile.,1813,13/07/2015 
"Consulta sobre instrucciones relativas a las modificaciones introducidas por la Ley N° 20.630, a las normas sobre tributación que indica.",1811,13/07/2015 
Forma de acreditar los gastos incurridos en el extranjero.,1810,13/07/2015 
"Factibilidad que Corporación que indica, califique como donatario hábil para los efectos previstos en las leyes vigentes, que otorgan beneficios tributarios a los contribuyentes que efectúan donaciones. ",1809,13/07/2015 
Tributación aplicable a la Iglesia Católica y las entidades de carácter religioso que forman parte de la misma Iglesia.,1808,13/07/2015 
Situación tributaria de la devolución de excesos de cotización de salud. ,1771,08/07/2015 
"Reitera solicitud de fecha 13.12.2011, sobre aplicación del artículo 59 número 4) de la Ley sobre Impuesto a la Renta.",1757,06/07/2015 
"Facultad de tasación en caso de reorganizaciones internacionales que involucren la enajenación de activos situados en Chile y posibilidad de aplicar la regla de excepción del inciso final, del artículo 10 de la Ley sobre Impuesto a la Renta.",1756,06/07/2015 
"Aplicación de los beneficios tributarios del Título I, de la Ley N°19.885, de 2003, a proyectos de beneficencia desarrollados en el extranjero.",1755,06/07/2015 
Contratación sobre la base de honorarios a astrónomo extranjero.,1699,26/06/2015 
Impuestos que afectan a empleados contratados por una Embajada.,1697,26/06/2015 
"Procedencia de la deducción de la pérdida obtenida por un socio de una sociedad de responsabilidad limitada, como consecuencia de su disolución y liquidación. ",1686,25/06/2015 
Aplicación del artículo 64 del Código Tributario en caso de reorganización empresarial que describe.,1649,18/06/2015 
Solicita pronunciamiento sobre eventual contraprestación en caso de donaciones efectuadas a federación deportiva.,1591,15/06/2015 
Informa sobre los efectos tributarios de fusión por absorción.,1516,04/06/2015 
"Obligación de los contribuyentes que se acojan a las disposiciones de la letra A), del artículo 14 ter de la Ley sobre Impuesto a la Renta, de llevar los libros de Caja y de Ingresos y Egresos establecidos en la Res. Ex. N° 129 de 2014, de este Servicio; y si libros Caja y Bancos de la contabilidad general que en forma optativa pueden llevar estos contribuyentes, suplen la referida obligación.",1502,03/06/2015 
"Tasa variable del impuesto sustitutivo y opcional al Impuesto Global Complementario o Adicional sobre las rentas acumuladas al 31 de diciembre de 2014, que establece la Ley N°20.780.",1501,03/06/2015 
Efectos tributarios de contrato de asociación o cuentas en participación celebrado para el desarrollo de un proyecto de construcción de edificios. ,1483,02/06/2015 
"Tributación de la bonificación especial establecida en el inciso 2°, del artículo 29 de la Ley N° 20.717. ",1482,02/06/2015 
Solicita definir conceptos de “pequeña empresa comercializadora” y “pequeña empresa de servicio,1471,02/06/2015 
"Eliminar exenciones que favorecen a las iglesias, universidades e instituciones sin fines lucro.",1470,02/06/2015 
Tratamiento tributario de una pensión o jubilación de acuerdo con las normas de la Ley sobre Impuesto a la Renta.,1469,02/06/2015 
"Calidad tributaria y forma de declarar en el Formulario de declaración de Impuestos Anuales a la Renta, el ingreso correspondiente a un Retiro de Excedentes de Libre Disposición, efectuado de una AFP de acuerdo al D.L. N° 3.500.",1444,29/05/2015 
Solicita introducir medida en caso que indica respecto del derecho a crédito por gastos de educación establecido en el artículo 55 ter de la Ley sobre Impuesto a la Renta.,1423,28/05/2015 
Tratamiento tributario de desembolsos efectuados en cumplimiento de obligaciones impuestas en resoluciones de calificación ambiental.,1381,27/05/2015 
"Contrato de construcción, para los fines de la aplicación de los beneficios tributarios establecido en la Ley N°19.420 de 1995, sobre incentivos para el desarrollo económico de las provincias de Arica y Parinacota.",1380,27/05/2015 
"Aplicación del impuesto establecido en el artículo 21 de la Ley sobre Impuesto a la Renta, respecto de un préstamo otorgado a una compañía relacionada domiciliada en el extranjero.",1143,27/04/2015 
"Solicita la aclaración de criterios respecto de la modificación efectuada por la Ley N° 20.712 al N° 7, del artículo 74 de la LIR.",1142,27/04/2015 
"Deducción como gasto de sumas pagadas por el arriendo de camionetas para el transporte de personas y/o materiales, y situación del crédito fiscal que originan las facturas emitidas por arrendadores de vehículos. ",1141,27/04/2015 
"Requisitos establecidos en el artículo 107 de la Ley sobre Impuesto a la Renta (LIR), para que el mayor valor obtenido en la enajenación de acciones emitidas por sociedades anónimas abiertas con presencia bursátil, no constituya renta.",1016,14/04/2015 
"Tributación que afecta al excedente originado en la desafiliación del sistema de pensiones, conforme al artículo 1° de la Ley 18.225.",1015,14/04/2015 
"Tributación de Excedentes de Libre Disposición de afiliados pensionados al 7 de noviembre de 2001, que siguieron trabajando y realizando cotizaciones voluntarias.",1014,14/04/2015 
"Situación tributaria de una comunidad de edificio, respecto de los ingresos obtenidos por arriendo de espacios comunes para funcionamiento de antenas de celular. ",934,02/04/2015 
"Solicita devolución de sumas retenidas a título de impuesto por indemnización por término de funciones, pagadas a un trabajador al que se ha reconocido los años de servicio prestados en el extranjero para otras empresas pertenecientes a un grupo empresarial.",914,01/04/2015 
Cotizaciones previsionales obligatorias de los trabajadores independientes. ,871,30/03/2015 
"Solicita se aclare y complemente el Oficio N° 627, de fecha 26 de febrero de 2015.",823,24/03/2015 
"Tratamiento tributario de la inversión en Cuentas de Ahorro Voluntario y en Depósitos de Ahorro Previsional Voluntario, Cotizaciones Voluntarias y Ahorro Previsional Voluntario Colectivo, que se hubieran acogido al artículo 57 bis o al nuevo  artículo 54 bis, ambos de la Ley sobre Impuesto a la Renta, según corresponda. ",727,11/03/2015 
"Situación tributaria de las pensiones, en caso que una parte de ellas se originen en fondos traspasados desde las cuentas de ahorro voluntario, que hubieran estado acogidas al artículo 54 bis de la Ley sobre Impuesto a la Renta.",718,09/03/2015 
"No procede que las cooperativas puedan acceder a la franquicia tributaria establecida en el artículo 36 de la Ley N°19.518, en la situación que se indica.",700,09/03/2015 
"Procedencia de la deducción como gasto, de los intereses pagados o adeudados por un crédito destinado a financiar el pago de dividendos en una sociedad anónima. ",658,27/02/2015 
Situación tributaria de las dietas o remuneraciones pagadas por una sociedad anónima chilena a directores domiciliados o residentes en el extranjero.,657,27/02/2015 
Tributación que afecta al exceso de sueldo empresarial por sobre el tope imponible asignado al socio de una sociedad de responsabilidad limitada. Improcedencia de la deducción como gasto de una asignación de movilización y colación. ,651,26/02/2015 
Efectos tributarios de contrato de “joint venture.,646,26/02/2015 
Efectos de la quiebra en los beneficios tributarios de las leyes Navarino y Austral. ,641,26/02/2015 
Impuesto Adicional a premios de juegos de Casino y exención de impuestos respecto de dichas cantidades.,639,26/02/2015 
Tratamiento tributario de los ingresos y gastos relacionados con servicios de transporte de carga y fletes marítimos prestados por matriz en Alemania y gestionados por agencia en Chile. ,627,26/02/2015 
Tributación que afecta a retiros de excedentes de libre disposición regulados en el artículo 42 ter de la Ley sobre Impuesto a la Renta.,626,26/02/2015 
"Régimen tributario aplicable a las rentas provenientes del transporte terrestre de pasajeros, de acuerdo con las modificaciones introducidas a la Ley sobre Impuesto a la Renta (LIR), por la Ley N° 20.630 de 2012.",625,26/02/2015 
Tratamiento tributario que afecta al pago efectuado por el empleador a sus trabajadores por la parte de licencias médicas no cubierta por instituciones previsionales.,624,26/02/2015 
"Aplicación de lo dispuesto en el artículo 104 de la LIR, respecto de instrumentos de deuda de oferta pública adquiridos por un banco en cumplimiento de mandato de un inversionista.",623,26/02/2015 
"Objeto de Corporación que se indica, permite calificarla como donataria hábil para los efectos de lo dispuesto en el artículo 31 N°7 de la Ley sobre Impuesto a la Renta.",622,26/02/2015 
Pensionados que pueden efectuar ahorro previsional voluntario del artículo 42 bis de la Ley sobre Impuesto a la Renta (LIR). ,621,26/02/2015 
Situación tributaria de funcionarios contratados a honorarios que perciben asignaciones a título de viáticos. ,620,26/02/2015 
"Solicita confirmar criterio sobre liberación de efectuar Pagos Provisionales Mensuales Obligatorios (PPMO), respecto de operación que se indica.",619,26/02/2015 
"Improcedencia de deducir como gasto, los intereses por un crédito que fue asignado por división de otra sociedad.",618,26/02/2015 
"Tratamiento tributario de ciertos egresos, en la determinación de la base imponible de un contribuyente acogido al régimen del artículo 14 ter de la Ley sobre Impuesto a la Renta. ",617,26/02/2015 
"Limitaciones que establecen los artículos 11 y 13, de la Ley N° 19.885, respecto de las donaciones que otorgan beneficios tributarios al donante, en la situación que consulta.",616,26/02/2015 
Requisitos que debe cumplir el Crédito por Sistemas Solares Térmicos para su deducción. ,615,26/02/2015 
"Forma de imputar los Pagos Provisionales Mensuales (PPM) pagados en pesos, por un contribuyente autorizado a llevar su contabilidad en moneda extranjera, y que durante el ejercicio es autorizado a declarar y pagar sus impuestos en la misma moneda en la que lleva su contabilidad.",614,26/02/2015 
"Tratamiento tributario del mayor valor obtenido en la enajenación efectuada por una persona no domiciliada ni residente en Chile, de bonos u otros instrumentos de deuda emitidos en mercados extranjeros por compañías domiciliadas en Chile.",604,25/02/2015 
"Efecto de la tasación de mercado del artículo tercero transitorio, número XVI, literal iii), de la Ley N° 20.780, frente al Impuesto Territorial.",603,25/02/2015 
Solicita se indique acerca de cuál es el procedimiento para eximir de impuestos a una Fundación sin Fines de Lucro con domicilio en Isla de Pascua. ,587,25/02/2015 
"Solicita pronunciamiento respecto de diversas situaciones, relacionadas con la supervisión y fiscalización de proyectos de donaciones que realiza el Instituto Nacional de Deportes de Chile. ",574,24/02/2015 
Solicita introducir medida en caso que indica respecto del derecho a crédito por gastos de educación establecido en el artículo 55 ter de la Ley sobre Impuesto a la Renta.,573,24/02/2015 
"Efectos de la determinación por parte del Servicio, de ingresos omitidos por concepto de intereses devengados, en caso que el monto del crédito que posteriormente se soluciona mediante la capitalización y suscripción de acciones de la sociedad deudora, no considere el monto de dichos intereses.",572,24/02/2015 
"Determinación de la renta líquida imponible del Impuesto de Primera Categoría de una mutualidad, administradora del seguro contra riesgos por accidentes del trabajo y enfermedades profesionales, establecido en la Ley N°16.744 de 1968. ",531,19/02/2015 
Deducción de la pérdida obtenida en la enajenación de acciones de una sociedad anónima abierta.,495,13/02/2015 
"Tratamiento tributario que afecta a la entrega de sumas de dinero efectuadas por el Ministerio del Interior a damnificados por catástrofes naturales, en la situación que indica.",494,13/02/2015 
"Forma de cálculo del Impuesto Único de Segunda Categoría, respecto de remuneraciones percibidas por profesional afecto a la Ley N° 15.076, en la situación que indica.",493,13/02/2015 
"Efectos tributarios de la adquisición del total de derechos o acciones de una sociedad constituida en el extranjero, en manos de una sociedad anónima chilena.",492,13/02/2015 
"Tratamiento tributario de la diferencia producida entre el valor de colocación de un bono y su valor nominal o valor par, respecto del emisor de los instrumentos de deuda de oferta pública no acogidos al régimen del artículo 104 de la Ley de Impuesto a la Renta.",491,13/02/2015 
Impuestos aplicables en la venta de un departamento,481,12/02/2015 
Consulta aspectos tributarios asociados a realización en Chile de curso de especialización organizado por asociación médica argentina.,480,12/02/2015 
Eximir de impuesto a rentas que provienen del ahorro previsional (pensión de jubilación).,478,12/02/2015 
Contrato de cuenta corriente mercantil. Solicita precisar algunos párrafos del Oficio N° 987 de 2014.,467,12/02/2015 
"Tributación que afecta a la bonificación especial establecida en el artículo 13, de la Ley N°20.212 de 2007.",458,12/02/2015 
"Intervención de los intermediarios de inversiones, en el proceso de liquidación de cuotas de Fondos Mutuos y su reinversión, para efectos del inciso 5°, del artículo 108 de la Ley sobre Impuesto a la Renta (LIR).",457,12/02/2015 
Compensación de rentas con pérdidas obtenidas en la enajenación de acciones de sociedades anónimas por contribuyentes no obligados a declarar sus otras rentas mediante contabilidad. ,422,11/02/2015 
"Tratamiento tributario de dividendos acordados distribuir, incorporados a una cuenta corriente mercantil que mantiene una sociedad anónima con su matriz. Solicita reconsiderar Oficio N° 987 de 2014 por razones que indica.",400,09/02/2015 
"Modificaciones introducidas por la Ley N° 20.712, a la Ley sobre Impuesto a la Renta.",251,29/01/2015 
"Carácter de pago provisional mensual de la retención del Impuesto Único de Segunda Categoría  practicada con motivo de la desafiliación del sistema de pensiones establecido en el D.L. N° 3.500, de acuerdo con el inciso final del artículo 2°, de la Ley N°18.225.",130,15/01/2015 
Tratamiento tributario de pagos efectuados por el beneficiario de un contrato de opción de compra minera.,33,06/01/2015 
"Entrada en vigencia de lo dispuesto en el artículo 10° transitorio de la Ley N° 20.712, de 2014, Ley de Administración de Fondos de Terceros y Carteras Individuales.",32,06/01/2015 
Fecha de adquisición de las acciones o derechos sociales de una sociedad que nace de una división y tributación del mayor valor obtenido en la permuta de acciones.,3422,29/12/2016 
Situación de contribuyente que tributa en régimen de contabilidad completa que ha optado por declarar según el sistema tributario simplificado del artículo 14 ter de la Ley sobre Impuesto a la Renta.,3421,29/12/2016 
"Determinación del valor de adquisición de bienes raíces cuyo título traslaticio de dominio es la compraventa derivada del ejercicio de la opción de compra estipulada en un contrato de arrendamiento (leasing) y tributación del mayor valor obtenido en la enajenación de bienes raíces, que exceda el límite de 8.000 UF, atendidas las modificaciones introducidas por la Ley N° 20.780, modificada a su vez por la Ley N° 20.899. ",3420,29/12/2016 
Gastos incurridos en investigación científica y tecnológica.,3398,27/12/2016 
"Vigencia del Oficio N°5.077, de 1978, y su aplicabilidad en el caso de un crédito bancario destinado a la adquisición de activos que no generan rentas gravadas en la Ley sobre Impuesto a la Renta (LIR).",3397,27/12/2016 
"Aplicación de los beneficios, franquicias y exenciones del Decreto con Fuerza de Ley N° 2, de 1959.",3389,27/12/2016 
Consulta sobre interpretación de la norma tributaria que permite la eliminación del FUT.,3386,27/12/2016 
"Situación tributaria de los excesos de retiros existentes en una sociedad de responsabilidad limitada, en caso que cambie la forma de determinar su renta desde un régimen de renta efectiva con contabilidad completa, al de renta presunta establecido en la letra d) del N° 1 del artículo 20 de la Ley sobre Impuesto a la Renta (LIR).",3385,27/12/2016 
Tributación de determinados pagos ordenados por sentencia judicial de la Corte Suprema. Restitución a consumidores de sumas cobradas indebidamente.,163,27/12/2016 
"Aplicación de los artículos 41 A, 41 C, y el N°8, de la letra C), del artículo 41 G de la Ley sobre Impuesto a la Renta, a las situaciones que indica",3368,26/12/2016 
"Situación tributaria de cesión a título gratuito de bienes, que se debe efectuar por mandato del artículo 6° transitorio de Ley N° 20.936.",3355,23/12/2016 
"Consulta si la venta de una biblioteca personal a DIBAM, constituye un ingreso no renta del artículo 17 N°12 de la Ley sobre Impuesto a la Renta. ",3354,23/12/2016 
"Tratamiento tributario de aportes efectuados por una empresa, a una Corporación de derecho privado sin fines de lucro que provee de beneficios previsionales a los trabajadores de la empresa aportante.",3353,23/12/2016 
"Depreciación de equipo usado de acuerdo al artículo 31, N° 5 bis, de la Ley sobre Impuesto a la Renta (LIR).",3352,23/12/2016 
Consulta sobre alcance de la “radicación” de activos del artículo 24° transitorio de la Ley N° 20.780.,3320,20/12/2016 
"Aplicación del Impuesto Único de 35% establecido en el artículo 38 bis de la LIR, a aplicar a la fecha de término de giro, en la situación que indica. ",3306,16/12/2016 
Cumplimiento de lo dispuesto en el artículo 41 G de la Ley de Impuesto a la Renta.,3218,02/12/2016 
Elementos que configuran un establecimiento permanente en el exterior. ,3217,02/12/2016 
Asignación de movilización destinada a solventar gastos de combustible de vehículos de profesionales y técnicos contratados a honorarios por un Municipio para labores prestadas en terreno.,3185,25/11/2016 
Correcta interpretación de lo dispuesto por nuevo artículo 41 G de la LIR aplicable al caso que indica.,3106,18/11/2016 
"Alcance de la modificación efectuada al N° 2 de la letra A.- del artículo 41 G de la Ley sobre Impuesto a la Renta, por la Ley N° 20.899 de 2016. ",3105,18/11/2016 
"Tratamiento tributario de las inversiones efectuadas en sistemas de medición continua de emisiones (CEMS) y sistemas de abatimiento, relacionados ambos con el control del impuesto anual por emisiones al aire de material particulado, establecido en el artículo 8°, de la Ley N° 20.780.",3104,18/11/2016 
"Confirma vigencia del criterio establecido en el Oficio N° 3.040 de 27.11.2015, sobre procedencia de la aplicación del régimen opcional de tributación de rentas acumuladas en el FUT establecido por el N° 11, del numeral I, del artículo tercero de las disposiciones transitorias de la Ley N° 20.780, en el caso de comunidad hereditaria que se indica.",3103,18/11/2016 
Consulta sobre la tributación en la enajenación de bienes raíces.,3102,18/11/2016 
Solicita un pronunciamiento sobre la aplicación del artículo 24° transitorio de la Ley N° 20.780 a rentas percibidas durante el año 2015.,3101,18/11/2016 
Devolución de impuestos único de segunda categoría por aplicación del Convenio de Seguridad Social suscrito entre Chile y Brasil. ,2994,02/11/2016 
"Deducción como gasto necesario para producir la renta líquida de Primera Categoría, de honorarios por la defensa judicial ante un litigio tramitado en el extranjero.",2984,28/10/2016 
Devolución de impuesto único de segunda categoría por aplicación del Convenio de Seguridad Social suscrito entre Chile y Perú.,2952,25/10/2016 
Impuesto sustitutivo sobre las rentas acumuladas en el Registro FUT al 31 de diciembre de los años 2015 y/o 2016.,2896,20/10/2016 
Consulta sobre aplicación de tipo de cambio para caso que indica.,2875,18/10/2016 
Régimen opcional y transitorio del artículo primero transitorio de la Ley N°20.899.,2874,18/10/2016 
Crédito por instalación de Sistemas Solares Térmicos establecido en la Ley N° 20.365.  ,2873,18/10/2016 
"Consulta sobre exención de Impuesto de Primera Categoría a una sociedad educacional, en cuya creación, organización o mantenimiento participa o intervine una Universidad.",2868,18/10/2016 
"Aplicación del nuevo artículo 41 G de la Ley sobre Impuesto a la Renta, a la tributación de los dividendos obtenidos por una sociedad controlada en el exterior, provenientes de otras sociedades con giro productivo, controladas indirectamente por la sociedad domiciliada en Chile.  ",2746,04/10/2016 
Aplicación del inciso 3° del artículo 10 de la Ley sobre Impuesto a la Renta.,2734,30/09/2016 
Operación de financiamiento que incluye cesión del derecho de los socios a percibir utilidades de una sociedad de responsabilidad limitada en favor de un tercero.,2669,26/09/2016 
"Normas aplicables a la primera enajenación de un bien raíz agrícola, efectuada por un contribuyente que desde el 1° de enero de 1991, ha debido tributar sobre renta efectiva según contabilidad completa, en los términos del derogado artículo 5° transitorio de la Ley N° 18.985.",2560,13/09/2016 
Posesión de derechos sociales en relación con el beneficio establecido en el derogado artículo 14 quáter de la Ley sobre Impuesto a la Renta.  ,2559,13/09/2016 
"Normas aplicables a la primera enajenación de bienes raíces agrícolas, efectuadas por un contribuyente que desde el 1° de enero de 1991, ha debido tributar sobre renta efectiva según contabilidad completa, en los términos del derogado artículo 5° transitorio de la Ley N.° 18.985.",2558,13/09/2016 
Solicita analizar mecanismo para evitar que pago de pensiones influya en la declaración anual de Impuesto a la Renta.,2553,13/09/2016 
Solicita reconsiderar criterio sobre naturaleza jurídica de pagos por concepto de distribución de un programa computacional.,2494,06/09/2016 
"Tratamiento tributario de galpones y módulos que se indica, ubicados en Zona Franca",2491,06/09/2016 
"Tratamiento tributario de sumas relacionadas con contratos de derivados a que se refiere la Ley N°20.544, no informados a este Servicio, conforme a lo establecido en la Resolución Ex. N°114, de 29.10.2012.",2490,06/09/2016 
Tratamiento tributario de la venta de acciones que indica.,2489,06/09/2016 
"Forma de acreditar los ingresos por servicios de transporte y los gastos por compra de combustibles, por parte de una empresa de transporte terrestre de pasajeros, obligada a declarar sus rentas efectivas según contabilidad.",2488,06/09/2016 
"Situación de contratos especiales de operación para la exploración y explotación de yacimientos de hidrocarburos, frente a la reforma tributaria.",2478,05/09/2016 
"Calificación como ingresos no renta de los honorarios pagados a profesionales que se desempeñan en Isla de Pascua, conforme a lo establecido por el artículo 2°, de la Ley N° 20.809 de 2015; y emisión por parte de dichos profesionales de boletas de honorarios electrónica.",2477,05/09/2016 
Tributación de la venta de un inmueble perteneciente a una Representación Diplomática.,2436,31/08/2016 
"Tratamiento tributario, en relación a la aplicación del Impuesto Único de Segunda Categoría, de la cotización adicional de salud, superior a la mínima legal de 7%.",2406,26/08/2016 
Posibilidad que un extranjero tribute sobre renta mundial antes de los seis meses de residencia en Chile.,2405,26/08/2016 
Solicita revisar nuevo régimen tributario aplicable a la enajenación de bienes raíces.,2343,23/08/2016 
Tributación de pequeños y medianos agricultores.,2342,23/08/2016 
Solicita pronunciamiento sobre la oportunidad en la cual se aplica un Convenio Colectivo y reliquidación de rentas accesorias.,2339,23/08/2016 
Timbraje de certificado de donaciones para acreditar aportes acogidos a los artículos 1 al 7 de la Ley 16.282.,2338,23/08/2016 
Aplicación del artículo 11 de la Ley N°19.885 a proyecto deportivo en que sus beneficiarios son parientes de trabajadores del donante.   ,2337,23/08/2016 
"Titular del crédito derivado del pago de patentes por la no utilización de las aguas, en el caso en que sobre el derecho de aprovechamiento de las aguas, se hubiere constituido un usufructo.",2336,23/08/2016 
"Crédito por impuestos pagados en el exterior, en caso que la inversión respectiva no se encuentre inscrita en el Registro de Inversiones en el Extranjero por haberse efectuado desde otro país por un contribuyente que a la fecha de la inversión no tenía residencia ni domicilio en Chile, pero que con posterioridad adquiere residencia en nuestro país.",2335,23/08/2016 
"Entidad que debe dar cumplimiento a las obligaciones que establece el artículo 54 bis de la Ley sobre Impuesto  a la Renta, en el caso de Títulos Representativos de Facturas, transados en Bolsas de Productos Agropecuarios, y procedimiento que se debe utilizar para dichos efectos.",2334,23/08/2016 
"Solicita un pronunciamiento acerca de la situación tributaria de los gastos por concepto de costas personales, respecto del contribuyente que es condenado a su pago; en la situación que se indica.",137,22/08/2016 
"Calificación del elemento habitualidad, conforme al artículo 18 de la Ley Sobre Impuesto a la Renta, en una enajenación de acciones pertenecientes a una sociedad.",2240,09/08/2016 
"Aplicación de sanción del artículo 13 de la Ley N° 20.544, al caso que indica.",2175,02/08/2016 
Otorgamiento de RUT provisorio a trabajadores extranjeros. ,2151,01/08/2016 
Facultades fiscalizadoras en caso de una fundación exenta de Impuesto a la Renta.,2142,01/08/2016 
Tributación que afecta al excedente originado en la desafiliación al sistema de pensiones.,2140,01/08/2016 
"Solicita se modifique la letra d) del artículo 2° del DFL N° 1, de 1986.",2130,29/07/2016 
"Tratamiento tributario de pagos compensatorios efectuados por empresa de distribución eléctrica, los cuales son   de responsabilidad de terceros, según lo establecen resoluciones administrativas o judiciales. ",2080,20/07/2016 
Tratamiento tributario de una reinversión efectuada en el año 2015.,2078,20/07/2016 
"Procedencia de calificar como comisión, para los efectos de lo dispuesto en el artículo 59, inciso cuarto, N° 2, de la Ley sobre Impuesto a la Renta, a las remuneraciones por servicios prestados en el extranjero, pagadas en virtud de un contrato de provisión de servicios de gestión.",2058,19/07/2016 
"Consulta sobre procedencia de reintegro parcial de peajes pagados en vías concesionadas, de acuerdo al artículo 1°, de la Ley N° 19.764, en la situación que indica.",2034,15/07/2016 
Solicita informe sobre artículo 145-L del Código del Trabajo. ,1951,06/07/2016 
"Obligaciones tributarias que afectan a los Servicios de Radiodifusión Comunitaria Ciudadana, Ley N° 20.433.",1950,06/07/2016 
Impuestos que afectan a los bienes raíces.,1949,06/07/2016 
Solicita cambiar normativa tributaria que afecta a las microempresas.,1943,05/07/2016 
"Situación tributaria de ingresos que se indica, obtenidos por una Fundación sin fines de lucro, constituida por una Institución de Educación Superior del Estado, en relación a la exención de impuestos que establece la Ley N° 13.713, de 1959.",1941,05/07/2016 
Impuestos que se aplicarán a la venta de casas.,1892,30/06/2016 
"Solicita pronunciamiento sobre la determinación del monto de la garantía financiera que deben otorgar las empresas mineras con ocasión del cierre de faenas mineras conforme a la Ley N° 20.551, de 2011.",1850,24/06/2016 
Solicita ratificación de criterio de calificación de Ingreso No Renta.,1840,23/06/2016 
"Enajenación del derecho real de usufructo y de la nuda propiedad de un inmueble, atendido lo dispuesto en la Ley N° 20.780, modificada por la Ley N° 20.899.",1839,23/06/2016 
"Situación tributaria de gastos por servicios de publicidad a través de internet y otros servicios profesionales, realizados desde el extranjero.",1838,23/06/2016 
Solicita pronunciamiento acerca del Convenio entre Chile y Estados Unidos sobre transporte aereo,1837,23/06/2016 
Se pide un pronunciamiento sobre el impuesto adicional pagado por el uso de licencia y cesión del uso de licencia a cliente en Ecuador.,1836,23/06/2016 
"Solicita confirmar criterios en relación con aplicación del artículo 24° transitorio de la Ley N° 20.780, al caso que indica.",1828,23/06/2016 
"Situación tributaria de remuneraciones pagadas por los servicios que indica, contratados por una empresa domiciliada en Chile con empresas domiciliadas en el extranjero.",1825,23/06/2016 
Consulta sobre concepto de establecimiento permanente según Convenio Tributario entre Chile y Colombia.,1824,23/06/2016 
"Interpretación de la exención contenida en el artículo 9° la Ley N° 18.712, frente a la Ley sobre Impuesto a la Renta y la Ley sobre Impuesto a las Ventas y Servicios.",1775,22/06/2016 
"Aplicación del artículo 41 G de la Ley sobre Impuesto a la Renta, en el caso de activos acogidos al sistema voluntario del artículo 24° transitorio de la Ley N° 20.780.",1773,22/06/2016 
Inicio de proceso de fusión de sociedades.,2079,20/06/2016 
Costo de activo rebajado y recalificado como crédito en contra de Impuesto de Primera Categoría.,2057,19/06/2016 
"Situación tributaria de una comunidad de edificio, respecto de los ingresos obtenidos por arriendo de espacios comunes para funcionamiento de antenas de celular. ",1740,17/06/2016 
Consulta vigencia de decreto que concedió exención establecida en el artículo 40 N° 4 de la Ley sobre Impuesto a la Renta.,1709,15/06/2016 
"Régimen tributario de científicos, innovadores e investigadores internacionales. ",1706,15/06/2016 
Incentivos tributarios para empresas que se trasladen desde Santiago a Regiones.,1705,15/06/2016 
Sugiere emitir pronunciamiento sobre aportes de empresas para damnificados del Norte.,1701,15/06/2016 
Determinación del capital propio afecto al pago de Patente Municipal. ,1700,15/06/2016 
"Solicita ratificación de criterios que expresa en torno a los efectos tributarios que produce el hecho que una comunidad hereditaria formada al fallecimiento de un empresario individual, dentro del plazo dispuesto en el artículo 5° de la Ley sobre Impuesto a la Renta (LIR), decide convertir la empresa individual en una sociedad.",1699,15/06/2016 
"Solicita ratificación de criterios que expresa en torno a los efectos tributarios que produce el hecho que una comunidad hereditaria de un empresario individual, dentro del plazo dispuesto en el artículo 5° de la Ley sobre Impuesto a la Renta (LIR), decide convertir la empresa individual en una sociedad.",1698,15/06/2016 
"Procedencia de la deducción como gasto de la remuneración pagada a un socio de sociedad de personas que trabaja efectiva y permanentemente en ella, pese a no estar afecta al Impuesto Único de Segunda Categoría. ",1697,15/06/2016 
"Tributación de remesas efectuadas en pago de servicio prestado en el extranjero, consistente en la emisión de señal de satélite para ser recepcionada y difundida en el país. ",1692,15/06/2016 
Aplicación de normas de relación en la venta de acciones de sociedades constituidas en Chile.,1563,03/06/2016 
Situación tributaria de las remuneraciones y de las horas extraordinarias pagadas a los profesionales médicos que realizan programas de especialización y formación profesional en un establecimiento de salud público.,1502,31/05/2016 
Consulta sobre la reforma tributaria.,1431,17/05/2016 
"	Solicita se confirmen los criterios que indica, relacionados con los efectos tributarios en Chile del cambio de domicilio en el exterior de una sociedad extranjera con activos subyacentes en nuestro país.",1385,17/05/2016 
